name,score,brewer,abv,link,note
Hefeweissbier Dunkel,95.0,Brauerei Weihenstephan,5.3,https://www.beeradvocate.com/beer/profile/252/808/,"multiple results, guessed best match"
Derivative: Galaxy,95.0,Proclamation Ale Company,6.0,http://www.beeradvocate.com/search/?q=Derivative:+Galaxy&qt=beer,
Tripel Karmeliet,95.0,Brouwerij Bosteels,8.4,http://www.beeradvocate.com/search/?q=Tripel+Karmeliet&qt=beer,
Two Hearted Ale,95.0,Bell\'s Brewery,7.0,https://www.beeradvocate.com/beer/profile/287/1093/,"multiple results, guessed best match"
Two Hearted,95.0,Bell\'s Brewery,7.0,https://www.beeradvocate.com/beer/profile/287/1093/,"multiple results, guessed best match"
Heavy Boots Of Lead,95.0,Singlecut Beersmiths,11.2,https://www.beeradvocate.com/beer/profile/30452/176075/,"multiple results, guessed best match"
Cerise Cassee,94.0,Cambridge Brewing Company,9.0,http://www.beeradvocate.com/search/?q=Cerise+Cassee&qt=beer,
Saison Dupont,94.0,Brasserie Dupont,6.5,https://www.beeradvocate.com/beer/profile/637/1717/,"multiple results, guessed best match"
Union Jack,94.0,Firestone Walker Brewing Company,7.0,https://www.beeradvocate.com/beer/profile/2210/38180/,"multiple results, guessed best match"
Aun Mas Chili Jesus,94.0,Evil Twin Brewing,12.0,http://www.beeradvocate.com/search/?q=Aun+Mas+Chili+Jesus&qt=beer,
Petite Sour Blueberry,94.0,Crooked Stave Artisan Beer Project,4.5,https://www.beeradvocate.com/beer/profile/25191/126891/,"multiple results, guessed best match"
Achel Extra,94.0,Brouwerij Achelse,9.5,https://www.beeradvocate.com/beer/profile/922/40681/,"multiple results, guessed best match"
Duchesse De Bourgogne,94.0,Brouwerij Verhaeghe,6.2,http://www.beeradvocate.com/search/?q=Duchesse+De+Bourgogne&qt=beer,
Oatmeal Stout,94.0,The People\'s Pint,5.0,https://www.beeradvocate.com/beer/profile/113/571/,"multiple results, guessed best match"
Double Ipa,94.0,The People\'s Pint,8.5,https://www.beeradvocate.com/beer/profile/396/7284/,"multiple results, guessed best match"
Maudite,94.0,Unibroue,8.0,http://www.beeradvocate.com/search/?q=Maudite&qt=beer,
Orval Trappist Ale,94.0,Brasserie D\'orval,6.9,http://www.beeradvocate.com/search/?q=Orval+Trappist+Ale&qt=beer,
Juice Bomb,94.0,Sloop Brewing Company,6.5,https://www.beeradvocate.com/beer/profile/30081/217327/,"multiple results, guessed best match"
Vanilla Noir,94.0,Prairie Artisan Ales,13.7,https://www.beeradvocate.com/beer/profile/30356/107834/,"multiple results, guessed best match"
Hoponius Union,94.0,Jack\'s Abby Craft Lagers,6.5,https://www.beeradvocate.com/beer/profile/26520/71820/,"multiple results, guessed best match"
Excess Ipl,94.0,Jack\'s Abby Craft Lagers,7.2,https://www.beeradvocate.com/beer/profile/26520/168450/,"multiple results, guessed best match"
Oatmeal Stout,94.0,Ipswich Ale Brewery,5.0,https://www.beeradvocate.com/beer/profile/113/571/,"multiple results, guessed best match"
Vt Ipa,94.0,Long Trail Brewing Company,6.9,https://www.beeradvocate.com/beer/profile/147/88/,"multiple results, guessed best match"
Oude Gueuze Tilquin,94.0,Gueuzerie Tilquin,7.6,https://www.beeradvocate.com/beer/profile/25923/140278/,"multiple results, guessed best match"
Wandering Thoughts,94.0,Exhibit \'a\' Brewing Company,7.7,http://www.beeradvocate.com/search/?q=Wandering+Thoughts&qt=beer,
Korbinian,94.0,Brauerei Weihenstephan,7.4,https://www.beeradvocate.com/beer/profile/252/779/,"multiple results, guessed best match"
Oatmeal Stout,94.0,Samuel Smith Old Brewery,5.0,https://www.beeradvocate.com/beer/profile/113/571/,"multiple results, guessed best match"
Barn Beer,93.0,Plan Bee Farm Brewery,5.5,https://www.beeradvocate.com/beer/profile/33607/220109/,"multiple results, guessed best match"
Racer 5,93.0,Bear Republic Brewing Company,7.5,https://www.beeradvocate.com/beer/profile/15240/2751/,"multiple results, guessed best match"
Can It Be All So Simple,93.0,Interboro Spirit & Ales,8.2,http://www.beeradvocate.com/search/?q=Can+It+Be+All+So+Simple&qt=beer,
Champs De Fraise,93.0,Firestone Walker Brewing Company,6.33,http://www.beeradvocate.com/search/?q=Champs+De+Fraise&qt=beer,
El Gourdo,93.0,Firestone Walker Brewing Company,5.8,https://www.beeradvocate.com/beer/profile/2210/142453/,"multiple results, guessed best match"
Boar,93.0,Canned Heat Craft Beer Company,6.6,https://www.beeradvocate.com/beer/profile/30654/255255/,"multiple results, guessed best match"
Arrogant Bastard,93.0,Stone Brewing Company,7.2,https://www.beeradvocate.com/beer/profile/43153/92/,"multiple results, guessed best match"
Three Philosophers,93.0,Brewery Ommegang,9.7,https://www.beeradvocate.com/beer/profile/42/3457/,"multiple results, guessed best match"
Bakery: Cherry Pie,93.0,The Bruery,10.2,http://www.beeradvocate.com/search/?q=Bakery:+Cherry+Pie&qt=beer,
Halia,93.0,Goose Island Beer Company,7.5,https://www.beeradvocate.com/beer/profile/1146/68362/,"multiple results, guessed best match"
Sixth Glass,93.0,Boulevard Brewing Company,10.2,http://www.beeradvocate.com/search/?q=Sixth+Glass&qt=beer,
Santilli,93.0,Night Shift Brewing Company,6.0,http://www.beeradvocate.com/search/?q=Santilli&qt=beer,
Johnny Hammertime,93.0,Mighty Squirrel Brewing Company,9.7,http://www.beeradvocate.com/search/?q=Johnny+Hammertime&qt=beer,
Allagash Tripel,93.0,Allagash Brewing Company,9.0,https://www.beeradvocate.com/beer/profile/4/448/,"multiple results, guessed best match"
Cosmic Distortion,93.0,Mighty Squirrel Brewing Company,8.0,http://www.beeradvocate.com/search/?q=Cosmic+Distortion&qt=beer,
Mayflower Porter,93.0,Mayflower Brewing Company,5.2,https://www.beeradvocate.com/beer/profile/16105/41839/,"multiple results, guessed best match"
Jigsaw Jazz,93.0,Fort Hill Brewery,9.3,http://www.beeradvocate.com/search/?q=Jigsaw+Jazz&qt=beer,
White,93.0,Allagash Brewing Company,5.1,https://www.beeradvocate.com/beer/profile/4/59/,"multiple results, guessed best match"
Cadillac Mountain,93.0,Atlantic Brewing Company,6.7,https://www.beeradvocate.com/beer/profile/347/3338/,"multiple results, guessed best match"
Tank 7,93.0,Boulevard Brewing Company,8.5,https://www.beeradvocate.com/beer/profile/423/50570/,"multiple results, guessed best match"
Melvin Ipa,93.0,Melvin Brewing Company,7.5,https://www.beeradvocate.com/beer/profile/24056/62740/,"multiple results, guessed best match"
Rochefort 6,93.0,Brasserie De Rochefort,7.5,https://www.beeradvocate.com/beer/profile/207/3842/,"multiple results, guessed best match"
Goudenband,93.0,Brouwerij Liefmans,8.0,https://www.beeradvocate.com/beer/profile/283/773/,"multiple results, guessed best match"
Corsendonk Christmas,93.0,Brouwerij Corsendonk,8.1,http://www.beeradvocate.com/search/?q=Corsendonk+Christmas&qt=beer,
Wit,93.0,Brouwerij St Bernardus,5.5,https://www.beeradvocate.com/beer/profile/259/7879/,"multiple results, guessed best match"
Taddy Porter,93.0,Samuel Smith Old Brewery,5.0,https://www.beeradvocate.com/beer/profile/113/572/,"multiple results, guessed best match"
Brauweisse,93.0,Brauerei Ayinger,5.1,http://www.beeradvocate.com/search/?q=Brauweisse&qt=beer,
Delirium Tremens,93.0,Brouwerij Huyghe,8.5,http://www.beeradvocate.com/search/?q=Delirium+Tremens&qt=beer,
Kriek De Ranke,93.0,Brouwerij De Ranke,7.0,https://www.beeradvocate.com/beer/profile/739/4924/,"multiple results, guessed best match"
Westmalle Dubbel,93.0,Brouwerij Der Trappisten Westmalle,7.0,http://www.beeradvocate.com/search/?q=Westmalle+Dubbel&qt=beer,
Fonteinen Oude Kriek,93.0,Drie Fonteinen,5.0,https://www.beeradvocate.com/beer/profile/2216/92640/,"multiple results, guessed best match"
Paper Airplanes,92.0,Birds Fly South Ale Project,6.0,http://www.beeradvocate.com/search/?q=Paper+Airplanes&qt=beer,
Boskeun,92.0,De Dolle Brouwerij,10.0,http://www.beeradvocate.com/search/?q=Boskeun&qt=beer,
Oro De Calabaza,92.0,Jolly Pumpkin Artisan Ales,8.0,https://www.beeradvocate.com/beer/profile/9897/18975/,"multiple results, guessed best match"
Impending Descent,92.0,Troegs Brewing Company,9.8,https://www.beeradvocate.com/beer/profile/694/146366/,"multiple results, guessed best match"
Six Grain,92.0,Austin Street Brewery,6.7,https://www.beeradvocate.com/beer/profile/34657/147783/,"multiple results, guessed best match"
La Roja Grand Reserve,92.0,Jolly Pumpkin Artisan Ales,8.0,http://www.beeradvocate.com/search/?q=La+Roja+Grand+Reserve&qt=beer,
Old Engine Oil,92.0,Harviestoun Brewery,6.0,https://www.beeradvocate.com/beer/profile/323/875/,"multiple results, guessed best match"
Skull Splitter,92.0,Orkney Brewery,8.5,https://www.beeradvocate.com/beer/profile/118/402/,"multiple results, guessed best match"
Eisbock,92.0,Kulmbacher Brauerei,9.2,https://www.beeradvocate.com/beer/profile/412/11582/,"multiple results, guessed best match"
Saison,92.0,Allagash Brewing Company,8.0,https://www.beeradvocate.com/beer/profile/4/146790/,"multiple results, guessed best match"
Superhero Sidekicks,92.0,Kings Country Brewers Collective,6.9,http://www.beeradvocate.com/search/?q=Superhero+Sidekicks&qt=beer,
Petite Sour Raspberry,92.0,Crooked Stave Artisan Beer Project,5.5,https://www.beeradvocate.com/beer/profile/25191/165762/,"multiple results, guessed best match"
Nut Brown,92.0,Samuel Smith Old Brewery,5.0,https://www.beeradvocate.com/beer/profile/113/576/,"multiple results, guessed best match"
On Fleek,92.0,Stillwater Artisanal,13.0,https://www.beeradvocate.com/beer/profile/22150/212159/,"multiple results, guessed best match"
Petrus Aged Pale,92.0,De Brabandere,7.3,https://www.beeradvocate.com/beer/profile/718/2184/,"multiple results, guessed best match"
Whirlpool,92.0,Night Shift Brewing Company,4.5,https://www.beeradvocate.com/beer/profile/28609/114884/,"multiple results, guessed best match"
Ancient Power,92.0,Burlington Beer Company,8.0,http://www.beeradvocate.com/search/?q=Ancient+Power&qt=beer,
Ur Weisse,92.0,Brauerei Ayinger,5.8,https://www.beeradvocate.com/beer/profile/39/135/,"multiple results, guessed best match"
Uncanny Valley,92.0,Burlington Beer Company,7.0,http://www.beeradvocate.com/search/?q=Uncanny+Valley&qt=beer,
Birds Of A Feather,92.0,Lamplighter Brewing Company,6.8,https://www.beeradvocate.com/beer/profile/43127/272261/,"multiple results, guessed best match"
Plink,92.0,Grimm Artisanal Ales,5.7,http://www.beeradvocate.com/search/?q=Plink&qt=beer,
Prismatic Lazer,92.0,Burlington Beer Company,8.0,http://www.beeradvocate.com/search/?q=Prismatic+Lazer&qt=beer,
4 Giants,92.0,Founders Brewing Company,9.2,https://www.beeradvocate.com/beer/profile/1199/349106/,"multiple results, guessed best match"
Achel Bruin,92.0,Brouwerij Achelse,8.0,https://www.beeradvocate.com/beer/profile/922/8045/,"multiple results, guessed best match"
8 Days A Week,92.0,Beer\'d Brewing Company,6.7,https://www.beeradvocate.com/beer/profile/30321/118506/,"multiple results, guessed best match"
Momoko,92.0,Oxbow Brewing Company,7.0,http://www.beeradvocate.com/search/?q=Momoko&qt=beer,
Bretta Weisse,91.0,Firestone Walker Brewing Company,4.9,https://www.beeradvocate.com/beer/profile/2210/88903/,"multiple results, guessed best match"
Farmhouse Pale Ale,91.0,Oxbow Brewing Company,6.0,https://www.beeradvocate.com/beer/profile/26439/72219/,"multiple results, guessed best match"
Sour Rose,91.0,Crooked Stave Artisan Beer Project,4.5,https://www.beeradvocate.com/beer/profile/25191/248811/,"multiple results, guessed best match"
Northern Heights,91.0,Ten Bends Beer,8.0,http://www.beeradvocate.com/search/?q=Northern+Heights&qt=beer,
Farmhouse Pale Ale,91.0,Idle Hands Craft Ales,6.0,https://www.beeradvocate.com/beer/profile/26439/72219/,"multiple results, guessed best match"
Landlord,91.0,Timothy Taylor & Company,4.3,https://www.beeradvocate.com/beer/profile/2150/5560/,"multiple results, guessed best match"
Not In My Dojo,91.0,Sloop Brewing Company,6.8,http://www.beeradvocate.com/search/?q=Not+In+My+Dojo&qt=beer,
Citra Dreams,91.0,Captain Lawrence Brewing Company,7.0,https://www.beeradvocate.com/beer/profile/12959/446724/,"multiple results, guessed best match"
Rolling In Clouds,91.0,Finback Brewery,7.1,http://www.beeradvocate.com/search/?q=Rolling+In+Clouds&qt=beer,
Good Fortune,91.0,Common Roots Brewing Company,6.5,http://www.beeradvocate.com/search/?q=Good+Fortune&qt=beer,
60 Minute Ipa,91.0,Dogfish Head Craft Brewery,6.0,https://www.beeradvocate.com/beer/profile/64/6108/,"multiple results, guessed best match"
Brigadeiro,91.0,Springdale Beer Company,6.8,https://www.beeradvocate.com/beer/profile/48475/281706/,"multiple results, guessed best match"
Briar Weisse,91.0,Night Shift Brewing Company,5.2,http://www.beeradvocate.com/search/?q=Briar+Weisse&qt=beer,
Hyperfocus,91.0,Aeronaut Brewing Company,6.8,https://www.beeradvocate.com/beer/profile/34607/372936/,"multiple results, guessed best match"
Fear Movie Lions,91.0,Stone Brewing Company,8.5,https://www.beeradvocate.com/beer/profile/147/334028/,"multiple results, guessed best match"
Astrolabe,91.0,Urban Artifact Brewing,5.9,https://www.beeradvocate.com/beer/profile/27400/100418/,"multiple results, guessed best match"
Space Cake,91.0,Clown Shoes Beer,9.0,https://www.beeradvocate.com/beer/profile/22951/113602/,"multiple results, guessed best match"
Flower Power,91.0,Ithaca Beer Company,7.5,https://www.beeradvocate.com/beer/profile/651/78532/,"multiple results, guessed best match"
Matilda,91.0,Goose Island Beer Company,7.0,https://www.beeradvocate.com/beer/profile/1146/4318/,"multiple results, guessed best match"
Stout Rullquin,91.0,Gueuzerie Tilquin,7.0,https://www.beeradvocate.com/beer/profile/25923/102760/,"multiple results, guessed best match"
Dirty Bastard,91.0,Founders Brewing Company,8.5,https://www.beeradvocate.com/beer/profile/1199/7463/,"multiple results, guessed best match"
Patina Pale Ale,91.0,Austin Street Brewery,5.3,https://www.beeradvocate.com/beer/profile/34657/120997/,"multiple results, guessed best match"
Rare Vos,91.0,Brewery Ommegang,6.5,https://www.beeradvocate.com/beer/profile/42/593/,"multiple results, guessed best match"
Belhaven Wee Heavy,91.0,Belhaven Brewery,6.5,https://www.beeradvocate.com/beer/profile/148/79/,"multiple results, guessed best match"
Fiddlehead Ipa,91.0,Fiddlehead Brewing Company,6.2,https://www.beeradvocate.com/beer/profile/27919/76970/,"multiple results, guessed best match"
Vague Recollection,91.0,Jester King Brewery,6.0,https://www.beeradvocate.com/beer/profile/24018/318134/,"multiple results, guessed best match"
Spon 1,91.0,Jester King Brewery,5.7,https://www.beeradvocate.com/beer/profile/24018/288937/,"multiple results, guessed best match"
Estuary,91.0,Fore River Brewing Company,8.4,https://www.beeradvocate.com/beer/profile/44641/276045/,"multiple results, guessed best match"
Margarita Gose,91.0,Destihl Brewery,4.2,https://www.beeradvocate.com/beer/profile/17981/114685/,"multiple results, guessed best match"
Rosetta,91.0,Brewery Ommegang,5.6,https://www.beeradvocate.com/beer/profile/42/188719/,"multiple results, guessed best match"
Hitachino Nest White,91.0,Kiuchi Brewery,5.5,http://www.beeradvocate.com/search/?q=Hitachino+Nest+White&qt=beer,
Solera,90.0,Brewery Ommegang,8.0,https://www.beeradvocate.com/beer/profile/46299/246762/,"multiple results, guessed best match"
Pale Ale,90.0,Tuckerman Brewing Company,5.6,https://www.beeradvocate.com/beer/profile/140/276/,"multiple results, guessed best match"
Thomas Hardy Ale,90.0,Meantime Brewing Company,11.7,https://www.beeradvocate.com/beer/profile/5062/367343/,"multiple results, guessed best match"
Galactic Cowboy,90.0,Left Hand Brewing Company,9.0,http://www.beeradvocate.com/search/?q=Galactic+Cowboy&qt=beer,
Certatio Equestris,90.0,Avery Brewing Company,8.9,http://www.beeradvocate.com/search/?q=Certatio+Equestris&qt=beer,
Lavenade,90.0,Springdale Beer Co,4.5,https://www.beeradvocate.com/beer/profile/48475/363584/,"multiple results, guessed best match"
