abv,brewer,link,name,note,score,style,category
7.7,Brauerei Weihenstephan,https://www.beeradvocate.com/beer/profile/252/35625/,Vitus,"multiple results, guessed best match",95.0,German Weizenbock,Other
9.0,Unibroue,https://www.beeradvocate.com/beer/profile/22/30/,Trois Pistoles,"multiple results, guessed best match",95.0,Belgian Strong Dark Ale,Ale
12.0,Schneider & Sohn,https://www.beeradvocate.com/beer/profile/72/1934/,Aventinus Eisbock,"multiple results, guessed best match",95.0,German Eisbock,Other
6.3,Allagash Brewing Company,https://www.beeradvocate.com/beer/profile/4/121053/,Nancy,"multiple results, guessed best match",95.0,American Wild Ale,Ale
7.5,Cigar City Brewing Company,https://www.beeradvocate.com/beer/profile/17981/46363/,Jai Alai,"multiple results, guessed best match",95.0,American IPA,IPA
11.0,Brouwerij De Koningshoeven,https://www.beeradvocate.com/beer/profile/184/53946/,La Trappe Quadrupel,"multiple results, guessed best match",95.0,Belgian Quadrupel (Quad),Other
7.0,Bell's Brewery,https://www.beeradvocate.com/beer/profile/287/1093/,Two Hearted Ale,"multiple results, guessed best match",95.0,American IPA,IPA
7.2,Bruery Terreux,https://www.beeradvocate.com/beer/profile/40927/70286/,Tart Of Darkness,"multiple results, guessed best match",95.0,American Wild Ale,Ale
7.1,Andechs,http://www.beeradvocate.com/search/?q=Andechser+Doppelbock+Dunkel&qt=beer,Andechser Doppelbock Dunkel,,95.0,German Doppelbock,Other
8.4,Brouwerij Bosteels,http://www.beeradvocate.com/search/?q=Tripel+Karmeliet&qt=beer,Tripel Karmeliet,,95.0,Belgian Tripel,Other
5.0,Toppling Goliath Brewing Company,https://www.beeradvocate.com/beer/profile/23222/297086/,Dragon Fandango,"multiple results, guessed best match",95.0,American Wild Ale,Ale
8.0,Pipeworks Brewing Company,https://www.beeradvocate.com/beer/profile/28178/77708/,Ninja Vs Unicorn,"multiple results, guessed best match",95.0,American Imperial IPA,IPA
9.0,Dogfish Head Craft Brewery,https://www.beeradvocate.com/beer/profile/64/2093/,90 Minute Ipa,"multiple results, guessed best match",95.0,American Imperial IPA,IPA
7.0,Bell's Brewery,https://www.beeradvocate.com/beer/profile/287/1093/,Two Hearted,"multiple results, guessed best match",95.0,American IPA,IPA
7.0,Firestone Walker Brewing Company,https://www.beeradvocate.com/beer/profile/2210/38180/,Union Jack,"multiple results, guessed best match",94.0,American IPA,IPA
8.0,Unibroue,http://www.beeradvocate.com/search/?q=Maudite&qt=beer,Maudite,,94.0,Belgian Dubbel,Other
5.0,Samuel Smith Old Brewery,https://www.beeradvocate.com/beer/profile/113/571/,Oatmeal Stout,"multiple results, guessed best match",94.0,English Oatmeal Stout,Stout
7.7,Exhibit 'a' Brewing Company,http://www.beeradvocate.com/search/?q=Wandering+Thoughts&qt=beer,Wandering Thoughts,,94.0,New England IPA,IPA
7.4,Brauerei Weihenstephan,https://www.beeradvocate.com/beer/profile/252/779/,Korbinian,"multiple results, guessed best match",94.0,German Doppelbock,Other
6.5,Jack's Abby Craft Lagers,https://www.beeradvocate.com/beer/profile/26520/71820/,Hoponius Union,"multiple results, guessed best match",94.0,American Lager,Lager
9.0,Cambridge Brewing Company,http://www.beeradvocate.com/search/?q=Cerise+Cassee&qt=beer,Cerise Cassee,,94.0,American Wild Ale,Ale
5.0,The People's Pint,https://www.beeradvocate.com/beer/profile/113/571/,Oatmeal Stout,"multiple results, guessed best match",94.0,English Oatmeal Stout,Stout
8.5,The People's Pint,https://www.beeradvocate.com/beer/profile/396/7284/,Double Ipa,"multiple results, guessed best match",94.0,American Imperial IPA,IPA
9.5,Brouwerij Achelse,https://www.beeradvocate.com/beer/profile/922/40681/,Achel Extra,"multiple results, guessed best match",94.0,Belgian Strong Dark Ale,Ale
6.0,Interboro Spirit & Ales,https://www.beeradvocate.com/beer/profile/44293/247796/,Premiere,"multiple results, guessed best match",94.0,New England IPA,IPA
6.5,Brasserie Dupont,https://www.beeradvocate.com/beer/profile/637/1717/,Saison Dupont,"multiple results, guessed best match",94.0,Belgian Saison,Other
12.0,Evil Twin Brewing,http://www.beeradvocate.com/search/?q=Aun+Mas+Chili+Jesus&qt=beer,Aun Mas Chili Jesus,,94.0,American Imperial Stout,Stout
6.2,Brouwerij Verhaeghe,http://www.beeradvocate.com/search/?q=Duchesse+De+Bourgogne&qt=beer,Duchesse De Bourgogne,,94.0,Flanders Red Ale,Ale
6.9,Brasserie D'orval,http://www.beeradvocate.com/search/?q=Orval+Trappist+Ale&qt=beer,Orval Trappist Ale,,94.0,Belgian Pale Ale,Ale
8.0,Chouffe,https://www.beeradvocate.com/beer/profile/321/1836/,La Chouffe,"multiple results, guessed best match",94.0,Belgian Strong Pale Ale,Ale
7.2,Jack's Abby Craft Lagers,https://www.beeradvocate.com/beer/profile/26520/168450/,Excess Ipl,"multiple results, guessed best match",94.0,American Lager,Lager
