name,style,score,brewer,abv,link,note,category
Better Dayz,American Imperial IPA,90.0,Rutland Beerworks,8.5,https://www.beeradvocate.com/beer/profile/37304/266986/,"multiple results, guessed best match",IPA
Bretta Tangerine,American Wild Ale,90.0,Firestone Walker Brewing Company,6.2,https://www.beeradvocate.com/beer/profile/2210/355778/,"multiple results, guessed best match",Ale
Thomas Hardy Ale,English Barleywine,90.0,Meantime Brewing Company,11.7,https://www.beeradvocate.com/beer/profile/5062/367343/,"multiple results, guessed best match",Other
Cellar Door,Belgian Saison,90.0,Stillwater Artisanal,6.6,https://www.beeradvocate.com/beer/profile/22150/58523/,"multiple results, guessed best match",Other
Kapuziner Weissbier,German Hefeweizen,90.0,Kulmbacher Brauerei,5.4,https://www.beeradvocate.com/beer/profile/412/1229/,"multiple results, guessed best match",Other
Festina Lente,Belgian Fruit Lambic,90.0,Dogfish Head Craft Brewery,7.0,https://www.beeradvocate.com/beer/profile/64/13722/,"multiple results, guessed best match",Sour
Siracusa Nera,Russian Imperial Stout,90.0,Dogfish Head Craft Brewery,10.0,https://www.beeradvocate.com/beer/profile/64/243300/,"multiple results, guessed best match",Stout
Strawberry,American Wild Ale,90.0,Brouwerij Lindemans,7.39,https://www.beeradvocate.com/beer/profile/2391/81761/,"multiple results, guessed best match",Ale
Phase Change,American IPA,90.0,Lagunitas Brewing Company,7.4,https://www.beeradvocate.com/beer/profile/220/401247/,"multiple results, guessed best match",IPA
Prairie Noir,American Imperial Stout,90.0,Prairie Artisan Ales,11.0,https://www.beeradvocate.com/beer/profile/30356/95382/,"multiple results, guessed best match",Stout
Extended Jam,New England IPA,90.0,Destihl Brewery,6.8,http://www.beeradvocate.com/search/?q=Extended+Jam&qt=beer,,IPA
Galactic Cowboy,American Imperial Stout,90.0,Left Hand Brewing Company,9.0,http://www.beeradvocate.com/search/?q=Galactic+Cowboy&qt=beer,,Stout
Pale Ale,American Pale Ale (APA),90.0,Tributary Brewing Company,5.6,https://www.beeradvocate.com/beer/profile/140/276/,"multiple results, guessed best match",Ale
Post Ride Snack,American IPA,90.0,Maine Beer Company,4.9,http://www.beeradvocate.com/search/?q=Post+Ride+Snack&qt=beer,,IPA
White Picket Fence,Belgian Saison,90.0,Bellwoods Brewery,6.4,https://www.beeradvocate.com/beer/profile/28820/305255/,"multiple results, guessed best match",Other
Samoan Drop,American Imperial Porter,90.0,Banded Brewing,8.4,http://www.beeradvocate.com/search/?q=Samoan+Drop&qt=beer,,Other
Brite,American IPA,90.0,The Bruery,7.1,https://www.beeradvocate.com/beer/profile/25959/131535/,"multiple results, guessed best match",IPA
Pale Ale,American Pale Ale (APA),90.0,Tuckerman Brewing Company,5.6,https://www.beeradvocate.com/beer/profile/140/276/,"multiple results, guessed best match",Ale
Jess,American IPA,90.0,Amherst Brewing Company,7.0,https://www.beeradvocate.com/beer/profile/225/170814/,"multiple results, guessed best match",IPA
Petite Sour Peach,American Wild Ale,90.0,Crooked Stave Artisan Beer Project,4.5,http://www.beeradvocate.com/search/?q=Petite+Sour+Peach&qt=beer,,Ale
Certatio Equestris,American Wild Ale,90.0,Avery Brewing Company,8.9,http://www.beeradvocate.com/search/?q=Certatio+Equestris&qt=beer,,Ale
Rodenbach Classic,Flanders Red Ale,90.0,Rodenbach,5.2,http://www.beeradvocate.com/search/?q=Rodenbach+Classic&qt=beer,,Ale
Cloud Candy,New England IPA,89.0,Mighty Squirrel Brewing Company,6.5,https://www.beeradvocate.com/beer/profile/41562/323627/,"multiple results, guessed best match",IPA
Mean Old Tom,American Stout,89.0,Maine Beer Company,6.5,https://www.beeradvocate.com/beer/profile/20681/56545/,"multiple results, guessed best match",Stout
Bourbon Barrel Quad,Belgian Quadrupel (Quad),89.0,Boulevard Brewing Company,11.5,https://www.beeradvocate.com/beer/profile/24075/108409/,"multiple results, guessed best match",Other
Saison Du Tracteur,Belgian Saison,89.0,Le Trou Du Diable,6.0,http://www.beeradvocate.com/search/?q=Saison+Du+Tracteur&qt=beer,,Other
Mind Haze,New England IPA,89.0,Firestone Walker Brewing Company,6.2,https://www.beeradvocate.com/beer/profile/2210/374705/,"multiple results, guessed best match",IPA
Po Tweet,American Wild Ale,89.0,Hermit Thrush Brewery,5.2,https://www.beeradvocate.com/beer/profile/37303/246247/,"multiple results, guessed best match",Ale
Helles Schlenkerla,German Helles,89.0,Brauerei Heller-trum,4.3,https://www.beeradvocate.com/beer/profile/263/29145/,"multiple results, guessed best match",Other
Ritterguts Gose,Leipzig Gose,89.0,Brauhaus Ritterguts,4.7,https://www.beeradvocate.com/beer/profile/58142/11218/,"multiple results, guessed best match",Sour
Astrid,Belgian Saison,89.0,Allagash Brewing Company,9.7,https://www.beeradvocate.com/beer/profile/4/212069/,"multiple results, guessed best match",Other
Luppolo,German Pilsner,89.0,Oxbow Brewing Company,5.0,https://www.beeradvocate.com/beer/profile/26439/254094/,"multiple results, guessed best match",Other
Old Brown Dog,English Old Ale,89.0,Smuttynose Brewing Company,11.1,https://www.beeradvocate.com/beer/profile/141/187949/,"multiple results, guessed best match",Ale
Finback Ipa,New England IPA,89.0,Finback Brewery,7.2,https://www.beeradvocate.com/beer/profile/33901/111411/,"multiple results, guessed best match",IPA
Liquid Swords,American Imperial IPA,89.0,Oxbow Brewing Company,8.8,https://www.beeradvocate.com/beer/profile/27844/316653/,"multiple results, guessed best match",IPA
Route 101,American IPA,89.0,Ipswich Ale Brewery,6.0,http://www.beeradvocate.com/search/?q=Route+101&qt=beer,,IPA
Kriek Des Jacobins,Flanders Red Ale,89.0,Brouwerij Omer Vander Ghinste,4.5,http://www.beeradvocate.com/search/?q=Kriek+Des+Jacobins&qt=beer,,Ale
Samichlaus Schwarzes,European Strong Lager,89.0,Brauerei Schloss Eggenberg,14.0,http://www.beeradvocate.com/search/?q=Brauerei+Schloss+Eggenberg+Samichlaus+Schwarzes&qt=beer,,Lager
Afterglow,American IPA,89.0,Simple Roots Brewing,7.0,https://www.beeradvocate.com/beer/profile/34208/191802/,"multiple results, guessed best match",IPA
Mo,American Stout,89.0,Maine Beer Company,6.5,https://www.beeradvocate.com/beer/profile/20681/56545/,"multiple results, guessed best match",Stout
1620,New England IPA,89.0,Ipswich Ale Brewery,6.3,https://www.beeradvocate.com/beer/profile/162/297632/,"multiple results, guessed best match",IPA
Eku 28,German Doppelbock,89.0,Kulmbacher Brauerei,11.0,https://www.beeradvocate.com/beer/profile/412/1230/,"multiple results, guessed best match",Other
Weissbier Dunkel,German Dunkelweizen,89.0,Klosterbrauerei Andechs,5.0,https://www.beeradvocate.com/beer/profile/911/3994/,"multiple results, guessed best match",Other
Nanticoke Nectar,American IPA,89.0,Realerevival Brewing,7.4,https://www.beeradvocate.com/beer/profile/31849/107047/,"multiple results, guessed best match",IPA
Dark Island,Scottish Ale,89.0,Orkney Brewery,4.6,https://www.beeradvocate.com/beer/profile/118/401/,"multiple results, guessed best match",Ale
Troegenator,German Doppelbock,89.0,Troegs Brewing Company,8.2,https://www.beeradvocate.com/beer/profile/694/4109/,"multiple results, guessed best match",Other
Hog Oiler,American Imperial IPA,89.0,Berkley Beer Company,8.0,http://www.beeradvocate.com/search/?q=Hog+Oiler&qt=beer,,IPA
Or Xata,American Blonde Ale,89.0,The Bruery,7.2,https://www.beeradvocate.com/beer/profile/16866/160820/,"multiple results, guessed best match",Ale
Broze,English Sweet / Milk Stout,89.0,Proclamation Ale Company,5.5,https://www.beeradvocate.com/beer/profile/33482/196469/,"multiple results, guessed best match",Stout
Zen Garden,New England IPA,89.0,Clown Shoes Beer,6.75,https://www.beeradvocate.com/beer/profile/22951/382399/,"multiple results, guessed best match",IPA
Von Pilsner,German Kellerbier / Zwickelbier,89.0,Crooked Stave Artisan Beer Project,5.0,https://www.beeradvocate.com/beer/profile/25191/252326/,"multiple results, guessed best match",Other
Coconut Hiwa,American Porter,89.0,Maui Brewing Company,6.0,http://www.beeradvocate.com/search/?q=Coconut+Hiwa&qt=beer,,Other
Dead Guy,German Maibock,89.0,Rogue Brewing Company,6.8,https://www.beeradvocate.com/beer/profile/132/355/,"multiple results, guessed best match",Other
Altbairisch Dunkel,Munich Dunkel Lager,89.0,Brauerei Ayinger,5.0,https://www.beeradvocate.com/beer/profile/39/134/,"multiple results, guessed best match",Lager
Jahrhundert,European Export / Dortmunder,89.0,Brauerei Ayinger,5.5,https://www.beeradvocate.com/beer/profile/39/133/,"multiple results, guessed best match",Other
Tv Party,American IPA,89.0,Radiant Pig Craft Brews,7.6,https://www.beeradvocate.com/beer/profile/22072/65387/,"multiple results, guessed best match",IPA
Doobious,American Imperial IPA,89.0,Bad Sons Beer Company,8.4,https://www.beeradvocate.com/beer/profile/48923/370848/,"multiple results, guessed best match",IPA
Birthday Suit,American Wild Ale,89.0,Uinta Brewing Company,6.3,https://www.beeradvocate.com/beer/profile/1416/117688/,"multiple results, guessed best match",Ale
Bam Biere,Belgian Saison,89.0,Jolly Pumpkin Artisan Ales,4.5,https://www.beeradvocate.com/beer/profile/9897/28176/,"multiple results, guessed best match",Other
Sour Face,Berliner Weisse,89.0,Mighty Squirrel Brewing Company,5.0,https://www.beeradvocate.com/beer/profile/41562/364805/,"multiple results, guessed best match",Sour
Maine Island Trail,American Pale Ale (APA),89.0,Rising Tide Brewery Co,4.3,http://www.beeradvocate.com/search/?q=Maine+Island+Trail&qt=beer,,Ale
Rarefied Air,American Imperial IPA,89.0,Fiddlehead Brewing Company,7.7,https://www.beeradvocate.com/beer/profile/27919/280067/,"multiple results, guessed best match",IPA
Coconut Sombrero,American Stout,88.0,Clown Shoes Beer,7.0,http://www.beeradvocate.com/search/?q=Coconut+Sombrero&qt=beer,,Stout
Framboise,Belgian Fruit Lambic,88.0,Brouwerij Lindemans,2.5,https://www.beeradvocate.com/beer/profile/187/599/,"multiple results, guessed best match",Sour
Tripel Threat,Belgian Strong Pale Ale,88.0,Cambridge Brewing Company,10.0,https://www.beeradvocate.com/beer/profile/14/2599/,"multiple results, guessed best match",Ale
River Guide,American Dark Wheat Ale,88.0,Berkshire Brewing Company,7.0,https://www.beeradvocate.com/beer/profile/33/2370/,"multiple results, guessed best match",Ale
Galactica,American Imperial IPA,88.0,Clown Shoes Beer,8.0,https://www.beeradvocate.com/beer/profile/22951/92472/,"multiple results, guessed best match",IPA
Rocket Surgery,New England IPA,88.0,Surly Brewing Company,5.5,https://www.beeradvocate.com/beer/profile/13014/363378/,"multiple results, guessed best match",IPA
Currantly Blacked Out,Leipzig Gose,88.0,Barreled Souls Brewing,4.9,http://www.beeradvocate.com/search/?q=Currantly+Blacked+Out&qt=beer,,Sour
Kriek Brut,Flanders Oud Bruin,88.0,Liefmans Brouwerij,6.0,https://www.beeradvocate.com/beer/profile/283/283112/,"multiple results, guessed best match",Other
Hop Hop & Away,American Pale Ale (APA),88.0,Aeronaut Brewing Company,4.6,https://www.beeradvocate.com/beer/profile/34607/200435/,"multiple results, guessed best match",Ale
Phantom Haze,American Imperial IPA,88.0,Boulevard Brewing Company,7.5,https://www.beeradvocate.com/beer/profile/423/460226/,"multiple results, guessed best match",IPA
Old Foghorn,English Barleywine,88.0,Anchor Brewing Company,10.0,https://www.beeradvocate.com/beer/profile/28/1445/,"multiple results, guessed best match",Other
Milk Stout,English Sweet / Milk Stout,88.0,Left Hand Brewing Company,6.0,https://www.beeradvocate.com/beer/profile/418/415392/,"multiple results, guessed best match",Stout
La Vermontoise,Belgian Saison,88.0,Brasserie De Blaugies,6.0,http://www.beeradvocate.com/search/?q=La+Vermontoise&qt=beer,,Other
Ipa,American IPA,88.0,Crooked Stave Artisan Beer Project,6.2,https://www.beeradvocate.com/beer/profile/220/916/,"multiple results, guessed best match",IPA
Gypsy Tart,Flanders Oud Bruin,88.0,The Bruery,8.4,http://www.beeradvocate.com/search/?q=Gypsy+Tart&qt=beer,,Other
Brettabolic,Belgian Saison,88.0,Wicked Weed Brewing Company,5.9,http://www.beeradvocate.com/search/?q=Brettabolic&qt=beer,,Other
Red Seal,American Amber / Red Ale,88.0,North Coast Brewing Company,5.4,http://www.beeradvocate.com/search/?q=Red+Seal&qt=beer,,Ale
Ola Dubh 12,English Old Ale,88.0,Harviestoun Brewery,8.0,https://www.beeradvocate.com/beer/profile/323/323308/,"multiple results, guessed best match",Ale
Espressway,English Oatmeal Stout,88.0,Two Roads Brewing Company,6.5,https://www.beeradvocate.com/beer/profile/30437/213109/,"multiple results, guessed best match",Stout
Pinky Swear,Berliner Weisse,88.0,Revival Brewing Company,3.5,https://www.beeradvocate.com/beer/profile/33064/225227/,"multiple results, guessed best match",Sour
Foreign Extra Stout,American Stout,88.0,St. James\' Gate Brewery,8.2,https://www.beeradvocate.com/beer/profile/35016/271043/,"multiple results, guessed best match",Stout
Optimator,German Doppelbock,88.0,Spaten-brau,7.6,http://www.beeradvocate.com/search/?q=Optimator&qt=beer,,Other
Kost Schwarzbier,German Schwarzbier,88.0,Kostritzer Schwarzbierbrauerei Gmbh & Co.,4.8,https://www.beeradvocate.com/beer/profile/648/1774/,"multiple results, guessed best match",Other
Barock Dunkel,Munich Dunkel Lager,88.0,Klosterbrauerei Weltenburg,4.7,http://www.beeradvocate.com/search/?q=Barock+Dunkel&qt=beer,,Lager
Helles,German Helles,88.0,Von Trapp Brewing,4.9,https://www.beeradvocate.com/beer/profile/22512/317160/,"multiple results, guessed best match",Other
Milk Stout Nitro,English Sweet / Milk Stout,88.0,Left Hand Brewing Company,5.0,https://www.beeradvocate.com/beer/profile/418/328101/,"multiple results, guessed best match",Stout
Smoke & Dagger,German Rauchbier,88.0,Jack\'s Abby Craft Lagers,5.8,https://www.beeradvocate.com/beer/profile/26520/71501/,"multiple results, guessed best match",Other
River Trip,Belgian Pale Ale,88.0,Allagash Brewing Company,4.8,https://www.beeradvocate.com/beer/profile/4/398180/,"multiple results, guessed best match",Ale
London Pride,English Bitter,88.0,Fuller\'s Brewery,4.1,https://www.beeradvocate.com/beer/profile/71/222/,"multiple results, guessed best match",Other
Maduro Brown Ale,English Brown Ale,88.0,Cigar City Brewing,5.5,https://www.beeradvocate.com/beer/profile/17981/47731/,"multiple results, guessed best match",Ale
Synchopathic,American Wild Ale,88.0,Destihl Brewery,6.0,https://www.beeradvocate.com/beer/profile/36757/241101/,"multiple results, guessed best match",Ale
Ommegang Abbey,Belgian Dubbel,88.0,Brewery Ommegang,9.5,https://www.beeradvocate.com/beer/profile/42/65735/,"multiple results, guessed best match",Other
Best Coast Ipa,American IPA,87.0,Drake\'s Brewing Company,7.0,https://www.beeradvocate.com/beer/profile/3835/10308/,"multiple results, guessed best match",IPA
Sierra Torpedo,American IPA,87.0,Sierra Nevada Brewing Company,6.0,https://www.beeradvocate.com/beer/profile/140/251571/,"multiple results, guessed best match",IPA
Pearly Wit,Belgian Witbier,87.0,Springdale Beer Company,4.8,https://www.beeradvocate.com/beer/profile/48475/282886/,"multiple results, guessed best match",Other
Select Schwarzbier,German Schwarzbier,87.0,Pipeworks Brewing Company,6.3,http://www.beeradvocate.com/search/?q=Select+Schwarzbier&qt=beer,,Other
Granola Brown Ale,American Brown Ale,87.0,Black Hog Brewing Company,5.5,https://www.beeradvocate.com/beer/profile/34658/127795/,"multiple results, guessed best match",Ale
Gregorius,Belgian Strong Dark Ale,87.0,Stift Engelszell,9.7,https://www.beeradvocate.com/beer/profile/30035/86464/,"multiple results, guessed best match",Ale
The 87,Chile Beer,87.0,Night Shift Brewing Company,9.0,https://www.beeradvocate.com/beer/profile/64/41702/,"multiple results, guessed best match",Other
Anchor Steam,California Common / Steam Beer,87.0,Anchor Brewing Company,4.9,https://www.beeradvocate.com/beer/profile/28/63/,"multiple results, guessed best match",Other
New World Ipa,American IPA,87.0,Mayflower Brewing Company,6.2,https://www.beeradvocate.com/beer/profile/35989/189786/,"multiple results, guessed best match",IPA
Party Guy,American Wild Ale,87.0,Hermit Thrush Brewery,3.0,https://www.beeradvocate.com/beer/profile/37303/167317/,"multiple results, guessed best match",Ale
Bluebird Bitter,English Bitter,87.0,Coniston Brewing Company,4.2,https://www.beeradvocate.com/beer/profile/298/828/,"multiple results, guessed best match",Other
Nebiulin-a,Fruit and Field Beer,87.0,Loverbeer,8.0,http://www.beeradvocate.com/search/?q=Nebiulin-a&qt=beer,,Other
Hennepin,Belgian Saison,87.0,Brewery Ommegang,7.7,https://www.beeradvocate.com/beer/profile/42/165745/,"multiple results, guessed best match",Other
Samara Brown,American Brown Ale,87.0,Lone Pine Brewing Company,7.5,http://www.beeradvocate.com/search/?q=Samara+Brown&qt=beer,,Ale
Reissdorf Kolsch,German K\xc3\xb6lsch,87.0,Brauerei Heinrich Reissdorf,4.8,http://www.beeradvocate.com/search/?q=Reissdorf+Kolsch&qt=beer,,Other
Good Neighbor,American IPA,87.0,Simple Roots Brewing,6.5,https://www.beeradvocate.com/beer/profile/35179/255730/,"multiple results, guessed best match",IPA
Accidental Wilderness,American IPA,87.0,Honest Weight Artisan Beer,5.6,http://www.beeradvocate.com/search/?q=Accidental+Wilderness&qt=beer,,IPA
House Lager,German Helles,87.0,Jack\'s Abby Craft Lagers,5.2,https://www.beeradvocate.com/beer/profile/26520/153110/,"multiple results, guessed best match",Other
St Medard,Belgian Saison,87.0,Brasserie Au Baron,7.0,https://www.beeradvocate.com/beer/profile/7548/15838/,"multiple results, guessed best match",Other
Ticky Ticky Buzz,Russian Kvass,87.0,Fonta Flora Brewery,3.2,http://www.beeradvocate.com/search/?q=Ticky+Ticky+Buzz&qt=beer,,Other
Amber Ale,American Amber / Red Ale,87.0,Bell\'s Brewery,5.8,https://www.beeradvocate.com/beer/profile/287/794/,"multiple results, guessed best match",Ale
Whoopie Pie Stout,English Sweet / Milk Stout,87.0,Some Brewing Company,6.0,https://www.beeradvocate.com/beer/profile/33631/140888/,"multiple results, guessed best match",Stout
Midnight Oil,English Oatmeal Stout,87.0,Beer\'d Brewing Company,6.2,https://www.beeradvocate.com/beer/profile/30321/102281/,"multiple results, guessed best match",Stout
Rosie,Belgian Fruit Lambic,87.0,Lamplighter Brewing Company,9.0,https://www.beeradvocate.com/beer/profile/741/51293/,"multiple results, guessed best match",Sour
Country Ride,American Pale Ale (APA),87.0,Realerevival Brewing,5.8,https://www.beeradvocate.com/beer/profile/31849/255009/,"multiple results, guessed best match",Ale
All Day Ipa,American IPA,87.0,Founders Brewing Company,4.7,https://www.beeradvocate.com/beer/profile/1199/58914/,"multiple results, guessed best match",IPA
Hop Sounds,German K\xc3\xb6lsch,87.0,Singlecut Beersmiths,5.0,https://www.beeradvocate.com/beer/profile/30452/416659/,"multiple results, guessed best match",Other
Orabelle,Belgian Tripel,87.0,Great Divide Brewing Company,8.3,http://www.beeradvocate.com/search/?q=Orabelle&qt=beer,,Other
Extra Dry,Belgian Saison,87.0,Stillwater Artisanal,4.2,https://www.beeradvocate.com/beer/profile/22150/229927/,"multiple results, guessed best match",Other
Colette,Belgian Saison,87.0,Great Divide Brewing Company,7.3,https://www.beeradvocate.com/beer/profile/158/49374/,"multiple results, guessed best match",Other
Wild Sour: Flanders,Flanders Red Ale,87.0,Destihl Brewery,6.1,https://www.beeradvocate.com/beer/profile/36757/124710/,"multiple results, guessed best match",Ale
Maibock Hurts Like Helles,German Maibock,87.0,Jack\'s Abby Craft Lagers,6.5,http://www.beeradvocate.com/search/?q=Maibock+Hurts+Like+Helles&qt=beer,,Other
Peak Fresh Cut,Bohemian Pilsener,87.0,Peak Organic Brewing,4.6,http://www.beeradvocate.com/search/?q=Peak+Fresh+Cut&qt=beer,,Other
Zundert,Belgian Strong Dark Ale,87.0,Brouwerij De Kievit,8.0,https://www.beeradvocate.com/beer/profile/33472/107400/,"multiple results, guessed best match",Ale
Katie,American IPA,87.0,Amherst Brewing Company,5.5,https://www.beeradvocate.com/beer/profile/225/270150/,"multiple results, guessed best match",IPA
Shadow Figures,American Porter,87.0,Common Roots Brewing Company,5.5,http://www.beeradvocate.com/search/?q=Shadow+Figures&qt=beer,,Other
Anniversary Series,American Pale Wheat Ale,87.0,The Bruery,8.4,https://www.beeradvocate.com/beer/profile/651/139177/,"multiple results, guessed best match",Ale
Arabier,American Wild Ale,87.0,Brouwerij De Dolle,8.0,https://www.beeradvocate.com/beer/profile/201/215314/,"multiple results, guessed best match",Ale
Kriek,Belgian Fruit Lambic,87.0,Lindemans Brewery,3.5,https://www.beeradvocate.com/beer/profile/187/600/,"multiple results, guessed best match",Sour
Green State Lager,German Pilsner,86.0,Zero Gravity Craft Brewery,4.9,http://www.beeradvocate.com/search/?q=Green+State+Lager&qt=beer,,Other
Boomerang,American Pale Ale (APA),86.0,Mayflower Brewing Company,6.0,https://www.beeradvocate.com/beer/profile/16105/375340/,"multiple results, guessed best match",Ale
Little Wolf,American Pale Ale (APA),86.0,Zero Gravity Craft Brewery,4.7,https://www.beeradvocate.com/beer/profile/9784/156888/,"multiple results, guessed best match",Ale
Petrus Rood Bruin,Flanders Oud Bruin,86.0,Brouwerij De Brabandere,5.5,http://www.beeradvocate.com/search/?q=Petrus+Rood+Bruin&qt=beer,,Other
Dmd,American Black Ale,86.0,Brasserie Fantome,6.0,https://www.beeradvocate.com/beer/profile/738/173553/,"multiple results, guessed best match",Ale
Radler Grapefruit,Fruit and Field Beer,86.0,Stiegl Brauerei,2.5,https://www.beeradvocate.com/beer/profile/817/68049/,"multiple results, guessed best match",Other
Milk Milk,English Sweet / Milk Stout,86.0,Carton Brewing Company,4.0,https://www.beeradvocate.com/beer/profile/26817/77633/,"multiple results, guessed best match",Stout
Wizard,American Barleywine,86.0,Burlington Beer Company,10.5,https://www.beeradvocate.com/beer/profile/9629/64812/,"multiple results, guessed best match",Other
Hell Lager,German Helles,86.0,Surly Brewing Company,5.0,https://www.beeradvocate.com/beer/profile/13014/44531/,"multiple results, guessed best match",Other
Scorn,American Pale Wheat Ale,86.0,Trve Brewing Company,5.5,https://www.beeradvocate.com/beer/profile/28439/110198/,"multiple results, guessed best match",Ale
Vape Tricks,American Wild Ale,86.0,Prairie Artisan Ales,5.9,http://www.beeradvocate.com/search/?q=Vape+Tricks&qt=beer,,Ale
Springdale Ipa,American IPA,86.0,Springdale Beer Company,6.2,https://www.beeradvocate.com/beer/profile/48475/461809/,"multiple results, guessed best match",IPA
Leffe Brune,Belgian Dark Ale,86.0,Abbaye De Leffe,6.5,http://www.beeradvocate.com/search/?q=Leffe+Brune&qt=beer,,Ale
Plain Top,Bohemian Pilsener,86.0,Singlecut Beersmiths,5.2,http://www.beeradvocate.com/search/?q=Plain+Top&qt=beer,,Other
Every Day Haze,American IPA,86.0,Ithaca Beer Company,6.6,http://www.beeradvocate.com/search/?q=Every+Day+Haze&qt=beer,,IPA
Oberon,American Pale Wheat Ale,86.0,Bell\'s Brewery,5.8,https://www.beeradvocate.com/beer/profile/287/1094/,"multiple results, guessed best match",Ale
Samichlaus Helles,German Maibock,86.0,Brauerei Schloss Eggenberg,14.0,https://www.beeradvocate.com/beer/profile/285/39766/,"multiple results, guessed best match",Other
Shabadoo Black & Tan,American Porter,86.0,Berkshire Brewing Company,6.3,https://www.beeradvocate.com/beer/profile/33/56408/,"multiple results, guessed best match",Other
Hell,German Helles,86.0,Mahr\'s Brau,5.0,https://www.beeradvocate.com/beer/profile/13014/44531/,"multiple results, guessed best match",Other
Meyer Lemon Gose,Leipzig Gose,86.0,East Rock Brewing Company,5.0,https://www.beeradvocate.com/beer/profile/24940/177977/,"multiple results, guessed best match",Sour
Organic Lager Beer,European Pale Lager,86.0,Samuel Smith Old Brewery Tadcaster,5.0,https://www.beeradvocate.com/beer/profile/113/778/,"multiple results, guessed best match",Lager
Brother Thelonious,Belgian Strong Dark Ale,86.0,North Coast Brewing Company,9.4,http://www.beeradvocate.com/search/?q=Brother+Thelonious&qt=beer,,Ale
Extra Farmhouse,Belgian Saison,86.0,Brasserie Thiriez,5.8,https://www.beeradvocate.com/beer/profile/31722/141581/,"multiple results, guessed best match",Other
Leisure Lagoon,American Pale Ale (APA),86.0,Coronado Brewing Company,5.5,http://www.beeradvocate.com/search/?q=Leisure+Lagoon&qt=beer,,Ale
Weissbier,German Hefeweizen,86.0,Benediktiner,5.4,https://www.beeradvocate.com/beer/profile/2432/55287/,"multiple results, guessed best match",Other
Innis & Gunn Rum Aged,Scottish Ale,86.0,Innis & Gunn,6.8,https://www.beeradvocate.com/beer/profile/10272/115326/,"multiple results, guessed best match",Ale
Groove City Hefe,German Hefeweizen,86.0,Realerevival Brewing,5.2,http://www.beeradvocate.com/search/?q=Groove+City+Hefe&qt=beer,,Other
Robot Crush,American Lager,86.0,Aeronaut Brewing Company,5.1,https://www.beeradvocate.com/beer/profile/34607/257450/,"multiple results, guessed best match",Lager
Shut Up Kelly!,American Porter,86.0,Bone Up Brewing Company,5.9,https://www.beeradvocate.com/beer/profile/43128/209684/,"multiple results, guessed best match",Other
Working Class Hero,Belgian Saison,86.0,Cambridge Brewing Company,4.54,https://www.beeradvocate.com/beer/profile/14/215688/,"multiple results, guessed best match",Other
Sawa,American IPA,86.0,Cervejaria Japas,6.7,https://www.beeradvocate.com/beer/profile/32810/164209/,"multiple results, guessed best match",IPA
Premium Pilsner,German Pilsner,86.0,Pipeworks Brewing Company,4.9,https://www.beeradvocate.com/beer/profile/28178/345834/,"multiple results, guessed best match",Other
Grevensteiner,German Kellerbier / Zwickelbier,86.0,C & A Veltins Brewing Company,5.2,https://www.beeradvocate.com/beer/profile/172/115552/,"multiple results, guessed best match",Other
Freigeist Abraxas,Leipzig Gose,86.0,Freigeist Bierkultur,3.8,http://www.beeradvocate.com/search/?q=Freigeist+Abraxas&qt=beer,,Sour
Commerzienrat Riegele,European Export / Dortmunder,86.0,Brauhaus Riegele,5.2,https://www.beeradvocate.com/beer/profile/5850/61875/,"multiple results, guessed best match",Other
Coal Porter,American Porter,85.0,Atlantic Brewing Company,6.5,https://www.beeradvocate.com/beer/profile/378/1928/,"multiple results, guessed best match",Other
Pilsner,American Lager,85.0,Von Trapp Brewing,5.4,https://www.beeradvocate.com/beer/profile/22512/369716/,"multiple results, guessed best match",Lager
Vienna Style Lager,Vienna Lager,85.0,Von Trapp Brewing,5.3,https://www.beeradvocate.com/beer/profile/140/50671/,"multiple results, guessed best match",Lager
Scrimshaw Pilsner,German Pilsner,85.0,North Coast Brewing Company,4.4,http://www.beeradvocate.com/search/?q=Scrimshaw+Pilsner&qt=beer,,Other
Chocolate Ale,American Strong Ale,85.0,Boulevard Brewing Company,8.7,https://www.beeradvocate.com/beer/profile/423/66077/,"multiple results, guessed best match",Ale
Somerset Wild,American Wild Ale,85.0,The Wild Beer Company,5.0,https://www.beeradvocate.com/beer/profile/30750/120140/,"multiple results, guessed best match",Ale
Konig Pilsener,German Pilsner,85.0,Konig Brauerei,4.9,https://www.beeradvocate.com/beer/profile/40/137/,"multiple results, guessed best match",Other
Aphrodite,Fruit and Field Beer,85.0,Brasserie Dieu Du Ciel,8.9,https://www.beeradvocate.com/beer/profile/42/71369/,"multiple results, guessed best match",Other
Oeral,Belgian Pale Ale,85.0,Brouwerij De Dolle,6.0,http://www.beeradvocate.com/search/?q=Oeral&qt=beer,,Ale
Modernism,European Dark Lager,85.0,Schilling Beer Company,4.6,https://www.beeradvocate.com/beer/profile/32906/197569/,"multiple results, guessed best match",Lager
Finest Kind Ipa,American IPA,85.0,Smuttynose Brewing Comapany,?,https://www.beeradvocate.com/beer/profile/141/178248/,"multiple results, guessed best match",IPA
Rabbit Rabbit,Belgian Saison,85.0,Lamplighter Brewing Company,7.4,https://www.beeradvocate.com/beer/profile/26/4629/,"multiple results, guessed best match",Other
Moonjumper,English Sweet / Milk Stout,85.0,Destihl Brewery,6.1,https://www.beeradvocate.com/beer/profile/36757/295908/,"multiple results, guessed best match",Stout
